Date,Year,Open,High,Low,Close,Volume,Adj Close
12-01-2021,2021,277,289.3333435,275.7799988,283.1466675,138812100,283.1466675
13-01-2021,2021,284.2533264,286.8233337,277.3333435,284.8033447,99937500,284.8033447
14-01-2021,2021,281.1300049,287.6666565,279.5833435,281.6666565,93798900,281.6666565
15-01-2021,2021,284,286.6333313,273.0333252,275.3866577,116332800,275.3866577
19-01-2021,2021,279.2666626,283.3333435,277.6666565,281.5166626,76101000,281.5166626
20-01-2021,2021,286.2466736,286.5,279.0933228,283.4833374,76997700,283.4833374
21-01-2021,2021,285,285.2399902,280.4733276,281.6633301,61563300,281.6633301
22-01-2021,2021,278.1033325,282.6666565,276.206665,282.2133179,60199500,282.2133179
25-01-2021,2021,285,300.1333313,279.6066589,293.6000061,123520200,293.6000061
26-01-2021,2021,297.1266785,298.6333313,290.5333252,294.3633423,69394800,294.3633423
27-01-2021,2021,290.1166687,297.1666565,286.2200012,288.0533447,82002000,288.0533447
28-01-2021,2021,273.3333435,282.6666565,267,278.4766541,79134000,278.4766541
29-01-2021,2021,276.6666565,280.8033447,260.0333252,264.5100098,104972400,264.5100098
01-02-2021,2021,271.4299927,280.6666565,265.186676,279.936676,76174200,279.936676
02-02-2021,2021,281.5599976,293.5,280.7333374,290.9299927,73038600,290.9299927
04-02-2021,2021,285,285.5,277.8066711,283.3299866,47438100,283.3299866
05-02-2021,2021,281.6666565,288.2566528,279.6566772,284.0766602,55699800,284.0766602
08-02-2021,2021,289.8900146,292.5899963,284.9166565,287.8066711,60485100,287.8066711
09-02-2021,2021,285.0400085,286.6000061,280.5833435,283.1533203,45473100,283.1533203
10-02-2021,2021,281.2133179,281.6066589,266.6733398,268.2733459,108648300,268.2733459
11-02-2021,2021,270.813324,276.6266785,267.2433472,270.5533447,64868400,270.5533447
12-02-2021,2021,267.0866699,272.4433289,261.7766724,272.0400085,71304900,272.0400085
16-02-2021,2021,272.6666565,273.6666565,264.1466675,265.4066772,59406900,265.4066772
17-02-2021,2021,259.6966553,266.6133423,254.0033264,266.0499878,77989500,266.0499878
18-02-2021,2021,260.2999878,264.8966675,258.7566528,262.4599915,53871300,262.4599915
19-02-2021,2021,265,265.5966797,259.1233215,260.4333191,56874900,260.4333191
22-02-2021,2021,254.2133331,256.1666565,236.7333374,238.1666718,111809100,238.1666718
23-02-2021,2021,220.7100067,237.8699951,206.3333282,232.9466705,199820700,232.9466705
24-02-2021,2021,237.2833405,248.3333282,231.3899994,247.3399963,110301000,247.3399963
25-02-2021,2021,242.0500031,245.7366638,223.5266724,227.406662,117071700,227.406662
26-02-2021,2021,233.3333282,235.5666656,219.8366699,225.1666718,123267600,225.1666718
01-03-2021,2021,230.0366669,239.6666718,228.3500061,239.4766693,81408600,239.4766693
02-03-2021,2021,239.4266663,240.3699951,228.3333282,228.8133392,71196600,228.8133392
03-03-2021,2021,229.3300018,233.5666656,217.2366638,217.7333374,90624000,217.7333374
04-03-2021,2021,218.6000061,222.8166656,200,207.1466675,197758500,207.1466675
05-03-2021,2021,208.6866608,209.2799988,179.8300018,199.3166656,268189500,199.3166656
08-03-2021,2021,200.1833344,206.7100067,186.2633362,187.6666718,155361000,187.6666718
09-03-2021,2021,202.7266693,226.0299988,198.4033356,224.5266724,202569900,224.5266724
10-03-2021,2021,233.4333344,239.2833405,218.3533325,222.6866608,181817100,222.6866608
11-03-2021,2021,233.1333313,234.1666718,225.7266693,233.1999969,108761700,233.1999969
12-03-2021,2021,223.3333282,231.6266632,222.0466614,231.2433319,100751400,231.2433319
15-03-2021,2021,231.363327,237.7266693,228.0133362,235.9799957,88006800,235.9799957
16-03-2021,2021,234.4499969,235.9733276,223.6666718,225.6266632,96587100,225.6266632
17-03-2021,2021,218.956665,234.5766602,217.0033264,233.9366608,121117500,233.9366608
18-03-2021,2021,228.0966644,229.7433319,217.3333282,217.7200012,99674400,217.7200012
19-03-2021,2021,215.5333405,219.0766602,208.206665,218.2899933,128682000,218.2899933
22-03-2021,2021,228.1966705,233.206665,222.9166718,223.3333282,118536600,223.3333282
